iter	Passed	Remaining
531	7761	13335
532	7777	13323
533	7792	13308
534	7808	13295
535	7825	13285
536	7841	13274
537	7856	13259
538	7872	13247
539	7886	13231
540	7901	13217
541	7915	13202
542	7930	13187
543	7944	13172
544	7958	13156
545	7971	13139
546	7986	13125
547	8002	13113
548	8017	13098
549	8030	13082
550	8045	13068
551	8060	13053
552	8073	13037
553	8087	13022
554	8101	13006
555	8115	12990
556	8131	12977
557	8145	12962
558	8161	12949
559	8176	12936
560	8190	12920
561	8205	12907
562	8222	12896
563	8237	12881
564	8252	12868
565	8267	12854
566	8283	12842
567	8300	12830
568	8316	12817
569	8330	12802
570	8344	12787
571	8359	12773
572	8374	12759
573	8389	12745
574	8405	12732
575	8418	12715
576	8433	12701
577	8448	12687
578	8463	12672
579	8478	12659
580	8492	12643
581	8506	12628
582	8521	12614
583	8535	12599
584	8549	12583
585	8564	12568
586	8578	12553
587	8592	12537
588	8607	12524
589	8623	12512
590	8639	12498
591	8653	12482
592	8668	12469
593	8684	12456
594	8699	12442
595	8714	12428
596	8728	12413
597	8743	12398
598	8757	12383
599	8772	12369
600	8786	12353
601	8802	12340
602	8816	12325
603	8831	12311
604	8846	12298
605	8862	12284
606	8876	12268
607	8890	12253
608	8905	12238
609	8920	12225
610	8935	12212
611	8949	12195
612	8964	12181
613	8977	12165
614	8993	12152
615	9007	12137
616	9023	12124
617	9038	12109
618	9052	12094
619	9067	12080
620	9082	12066
621	9098	12053
622	9113	12039
623	9127	12023
624	9140	12007
625	9156	11993
626	9171	11980
627	9186	11965
628	9200	11950
629	9215	11936
630	9230	11921
631	9243	11905
632	9258	11890
633	9271	11874
634	9285	11859
635	9301	11845
636	9316	11831
637	9332	11818
638	9347	11804
639	9362	11790
640	9375	11774
641	9389	11758
642	9404	11744
643	9417	11728
644	9432	11713
645	9447	11699
646	9461	11684
647	9476	11670
648	9490	11654
649	9505	11640
650	9521	11627
651	9535	11612
652	9550	11598
653	9564	11582
654	9578	11567
655	9594	11553
656	9608	11539
657	9624	11525
658	9638	11511
659	9652	11495
660	9666	11479
661	9680	11464
662	9694	11449
663	9710	11435
664	9723	11419
665	9738	11405
666	9752	11389
667	9767	11375
668	9782	11361
669	9797	11347
670	9811	11332
671	9826	11317
672	9840	11302
673	9853	11286
674	9867	11270
675	9881	11255
676	9895	11240
677	9909	11224
678	9922	11208
679	9936	11193
680	9951	11179
681	9967	11165
682	9982	11151
683	9997	11137
684	10011	11122
685	10026	11107
686	10041	11093
687	10055	11078
688	10070	11064
689	10084	11049
690	10099	11034
691	10113	11019
692	10129	11007
693	10144	10992
694	10159	10978
695	10174	10963
696	10189	10949
697	10203	10934
698	10218	10920
699	10231	10904
700	10248	10891
701	10264	10878
702	10279	10864
703	10292	10848
704	10307	10833
705	10322	10819
706	10336	10804
707	10351	10790
708	10366	10776
709	10381	10761
710	10397	10748
711	10414	10736
712	10430	10722
713	10446	10709
714	10459	10694
715	10474	10679
716	10489	10664
717	10504	10650
718	10520	10637
719	10535	10623
720	10550	10608
721	10564	10594
722	10579	10579
723	10594	10565
724	10610	10551
725	10625	10537
726	10639	10522
727	10652	10506
728	10667	10491
729	10682	10477
730	10697	10463
731	10711	10448
732	10726	10434
733	10739	10417
734	10754	10403
735	10768	10388
736	10781	10372
737	10796	10358
738	10812	10343
739	10826	10328
740	10840	10314
741	10856	10300
742	10870	10284
743	10885	10270
744	10899	10255
745	10914	10241
746	10929	10226
747	10944	10212
748	10959	10198
749	10972	10182
750	10988	10169
751	11002	10153
752	11016	10138
753	11031	10124
754	11046	10109
755	11061	10095
756	11077	10082
757	11093	10069
758	11108	10054
759	11123	10040
760	11137	10025
761	11153	10011
762	11168	9997
763	11183	9983
764	11198	9968
765	11214	9955
766	11230	9942
767	11246	9928
768	11259	9912
769	11274	9897
770	11288	9883
771	11302	9867
772	11316	9852
773	11333	9839
774	11348	9825
775	11365	9812
776	11379	9797
777	11394	9783
778	11408	9768
779	11424	9754
780	11439	9740
781	11454	9725
782	11467	9710
783	11482	9695
784	11496	9680
785	11511	9666
786	11525	9650
787	11540	9636
788	11554	9621
789	11569	9607
790	11584	9592
791	11599	9578
792	11614	9563
793	11628	9548
794	11644	9534
795	11658	9520
796	11672	9505
797	11687	9490
798	11702	9476
799	11716	9461
800	11731	9446
801	11746	9432
802	11759	9416
803	11775	9402
804	11789	9387
805	11804	9373
806	11818	9358
807	11832	9342
808	11847	9328
809	11862	9314
810	11878	9300
811	11893	9286
812	11909	9272
813	11923	9257
814	11939	9243
815	11954	9229
816	11968	9214
817	11982	9198
818	11996	9184
819	12011	9169
820	12025	9154
821	12039	9139
822	12054	9125
823	12069	9111
824	12083	9095
825	12098	9081
826	12115	9068
827	12129	9053
828	12143	9038
829	12159	9024
830	12175	9010
831	12190	8996
832	12206	8982
833	12221	8968
834	12236	8953
835	12251	8939
836	12266	8925
837	12281	8910
838	12296	8896
839	12310	8881
840	12325	8867
841	12340	8852
842	12355	8837
843	12368	8822
844	12385	8808
845	12399	8793
846	12412	8778
847	12427	8763
848	12441	8748
849	12456	8734
850	12472	8720
851	12488	8706
852	12502	8691
853	12517	8677
854	12532	8663
855	12547	8648
856	12561	8633
857	12576	8618
858	12591	8604
859	12606	8589
860	12620	8574
861	12634	8560
862	12650	8546
863	12664	8530
864	12678	8516
865	12693	8501
866	12709	8487
867	12724	8473
868	12739	8458
